ncom-update-gicc-05-15-2014-68612fe6,No,"Link should be below list. (Pg. 2)
Link goes to a broken website, but so does the link on the original document. (Pg. 2)
List hierarchy did not transfer. (Pg.3)
Checkmark image from the end of list items on original document is placed at the bottom of the page. (Pg. 3)",Lists not formatting correctly.,Critical Issues Remain,List hierarchy did not transfer. (Pg.3),"Link should be below list. (Pg. 2)
Link goes to a broken website, but so does the link on the original document. (Pg. 2)
Checkmark image from the end of list items on original document is placed at the bottom of the page. (Pg. 3)"
near-perfect-powerpoint-slides-by-accessibility-experts-47b0,No,"Background highlighting of headshot images transferred separately, alt text improperly attributed to background. (Pg. 1)
Many extraneous asterisks. (global)
Entire slides being transcribed after  an entire image of the corresponding slide is pulled in. (global)
Images missing and replaced by alt text commented (<!-->) into the html. (Pg. 7)
Incorrect header hierarchy. (Pg. 12)
Added links from example image, links were not originally clickable. (Pg. 17).
Originally hyperlinked text enclosed in brackets then duplicated and enclosed in paretheses, links are then duplicated with more text than originally at the bottom of the page. (Pg. 18)
Incorrect header hierarchy. (Pg. 19)
Critical, Page 19 and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.
Only part of image transferred over, image then duplicated later. (Pg. 19)
Font styling examples not transferred. (Pg. 20, 21)
Duplicate text used for purpose of example removed. (Pg. 22)
Links not transferred over, placed separately at bottom of page. (Pg. 23)
Alt text for image contains alt text for both images on the page. (Pg. 25, 26)
Image duplicated on page, one image is color corrected and loses the gray scale effect. Only one has proper alt text and grascale is not mentioned. (Pg. 27)
Underlined text improperly converted to hyperlink leading to nowhere. (Pg. 29)
List numbering duplicated. (Pg. 34)
Hyperlink in wrong spot, links to correct location but is named incorrectly. (Pg.43)
Links duplicated, first set of links are broken, second set lead to correct place. (Pg. 44)
Links duplicated. (Pg. 60)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Markdown not interpreted as HTML.
Alt text issues. 
Header issues. (global)",Critical Issues Remain,"Background highlighting of headshot images transferred separately, alt text improperly attributed to background. (Pg. 1)
Images completely missing, replaced by alt text in brackets. (Pg. 7, 16, 34, 35, 40, 41, 47)
Entire slides being transcribed after an entire image of the corresponding slide is pulled in. (global)
Added links from example image, links were not originally clickable. (Pg. 17).
Duplicated hyperlinks. (Pg. 18)
Links added at bottom of the page. (Pg. 23)
Alt text for image contains alt text for both images on the page. (Pg. 25, 26)
Image duplicated on page, one image is color corrected and loses the gray scale effect. Only one has proper alt text and grascale is not mentioned. (Pg. 27)
Underlined text improperly converted to hyperlink leading to nowhere. (Pg. 29)
Hyperlink in wrong spot, links to correct location but is named incorrectly. (Pg.43)
Links duplicated, first set of links are broken, second set lead to correct place. (Pg. 44)","NEW: Linebreak replaced by em dash. (Pg. 12, 15, 19, 20, 22, 26, 27... Global)"
near-perfect-powerpoint-slides-by-accessibility-experts-47b2,No,"""Accessibility Items"" should not be h2. (Pg. 5).
Critical, Page  and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.
""Manually create form fields"" should not be h2. (Pg. 7).
Images placed in wrong order. (Pg. 15)
Highlights on image not transferred. (Pg. 16)
Alt text just says ""Document image."" (Pg. 16)
Duplicate image improperly removed, it is the same image of the keyboard as previous but has different keys highlighted to instruct. (Pg. 18)
Alt text for images swapped. (Pg. 19)
Duplicate image improperly removed, showcases steps required. (Pg. 20)
Numerous improper asterisks. (Pg. 22, 23, 31)
Link text duplicated and moved to bottom of page. (Pg. 24, 33, 34)
Image highlights missing. (Pg.25, 27, 28)
Duplicate image improperly removed, it is the same image of the keyboard as previous but has different keys highlighted to instruct. (Pg. 28)","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Markdown not interpreted as HTML.
Header issues. (global)
Alt text issues.",Critical Issues Remain,"Images completely missing, replaced by alt text in brackets. (Pg. 4, 29)
Alt text no longer says ""Document image."", just says nothing. (Pg. 16)
Links moved to bottom of the page. (Pg. 24, 33)
","""Accessibility Items"" should not be h2. (Pg. 5)
""Manually create form fields"" should not be h2. (Pg. 7).
Images placed in wrong order. (Pg. 15, 19, 21, 25)
Highlights on image not transferred. (Pg. 16, 25, 27, 28, 30, 32)
Duplicate image improperly removed, showcases steps required. (Pg. 20, 28)
NEW: Linebreak replaced by em dash. (Pg. 23)"
newsletter-with-many-images-and-formatted-text-117c,No,"Made text for link the alt text of embedded videos, link leads to youtube home page. Correct video links duplicated to bottom of page. (Pg. 2, 3, 19, 26) 
Transcribed imaged also copied over. (Pg. 4)
Incorrect alt text. (Pg.5)
Text content ordered incorrectly, does not match image context. (Pg. 5, 9)
Extraneous asterisks added in place of bold text (Pg. 8)
Images oriented incorrectly. (Pg. 9)
Images transferred as just one cluster, alt text only matches one image. (Global)
Missing images, alt text mixed up. (Pg. 11)
Image alt text and captions mixed up. (Global)
Image transcribed along with image. (Global)
Background image image transferred over. (Pg, 21)
Header hierarchy issue, all headers are the same. (Pg. 22)
Links to embedded videos lead to youtube home page. (Pg. 26)
","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Alt text issues.
Markdown not interpreted as HTML.
Header hierarchy issues.",Critical Issues Remain,"Made text for link the alt text of embedded videos, link leads to youtube home page. Correct video links duplicated to bottom of page. (Pg. 2, 3, 19, 26)
Many images completely missing and replaced by alt text in brackets. (Global (not all but a lot))
Incorrect alt text. (Pg.5)
Text content ordered incorrectly, does not match image context. (Pg. 5, 9)
Missing link. (Pg. 18)
Duplicate link. (Pg. 20, 21)
",Transcribed image also copied over. (Global)
newsletter-with-many-images-and-formatted-text-21fb,No,"Initial links broken, links that lead to correct location duplicated to bottom of page. (Pg. 1, 2, 3)
Paragraph break appears when link does, breaking text flow. (Pg. 1, 2, 3)
Page break cuts text into multiple paragraphs. (Pg. 2)
Incorrect alt text on images. (Pg. 1)
","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Alt text issues.",Critical Issues Remain,"Initial links broken, links that lead to correct location duplicated to bottom of page. (Pg. 1, 2, 3)
Paragraph break appears when link does, breaking text flow. (Pg. 1, 2, 3)
Incorrect alt text on images. (Pg. 1)",
powerpoint-slides-f832,No,"Extraneous asterisks added. (Pg. 3)
Entire slide is being added instead of just one particular image. (Global)
Sublist is an unorded list when it should be ordered, list numbering is duplicated. (Pg. 5, 17)
Table headers not properly marked as headers. (Pg. 9)
Duplicate list numbering. (25)
First row incorrectly marked as header. (Pg. 28)
Missing header. (Pg. 30)
","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Alt text issues.
Markdown not interpreted as HTML.",Critical Issues Remain,"Table headers not properly marked as headers. (Pg. 9)
Entire slide is being added instead of just one particular image. (Global)
Images completely missing and replaced by alt text inside brackets. (Global)",
powerpoint-slides-fed0,No,"See ""powerpoint-slides-f832"", same issues","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Alt text issues.
Markdown not interpreted as HTML.",Critical Issues Remain,"See ""powerpoint-slides-f832"", same issues",
powerpoint-slides-feef,No,"See ""powerpoint-slides-f832"", same issues
","Dashed lines are used to visually represent page breaks. A screen reader user won't know that the page breaks exist. Was coded using a <div aria-hidden=true> instead of an <hr> (global)
Alt text issues.
Markdown not interpreted as HTML.",Critical Issues Remain,"See ""powerpoint-slides-f832"", same issues",
powerpoint-slides-fef1,No,"Critical, Page 9 and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.

All pages: Put all the screenshots of background images into the HTML. Should have ignored

Critical, Page 12 and others: Markdown not interpreted as HTML. Bold is written as **, etc.

Critical, Page 20: Copilot Lab link literally has ""Copilot Lab"" as the href, which is a broken link. The original PDF had a real hyperlink set for that text.

Critical, Page 21: All content from page 21, ""Questions"", is missing from the original PDF.","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML",Critical Issues Remain,"Page 9 and others: Transcribed the full text from the screenshot (an outlook screenshot for example) and put it in some form of text in the HTML. Should have just put alt text on the image.

Page 20: Copilot Lab link literally has ""Copilot Lab"" as the href, which is a broken link. The original PDF had a real hyperlink set for that text.

-- NEWLY INTRODUCED ISSUES --

Page 10: Pulling in logos and blank squares as images that shouldn't be there, they are part of the larger slide.

All Pages: Puts in ""[Image: Green paintbrush icon]"" or ""[Image: Purple folder with a magnifying glass icon]"" at random places. Like it's putting the alt text of the image into a standard <p>",All pages: Put all the screenshots of background images into the HTML. Should have ignored
powerpoint-slides-fef5,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML",Critical Issues Remain,"See ""powerpoint-slides-fef1"", same issues","See ""powerpoint-slides-fef1"", same issues"
powerpoint-slides-ff0a,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML",Critical Issues Remain,"See ""powerpoint-slides-fef1"", same issues","See ""powerpoint-slides-fef1"", same issues"
powerpoint-slides-ff0c,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML",Critical Issues Remain,"See ""powerpoint-slides-fef1"", same issues","See ""powerpoint-slides-fef1"", same issues"
powerpoint-slides-ff0d,No,"See ""powerpoint-slides-fef1"", same issues","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML",Critical Issues Remain,"See ""powerpoint-slides-fef1"", same issues","See ""powerpoint-slides-fef1"", same issues"
scanned-from-paper-many-pages-of-tables-6878,No,"Critical, Page 6: Hallucinated the incorrect price for part ""185669"" - the original PDF says ""$3,000.00"" and the HTML says ""$1,500.00""

The footers (e.g. Page 3 of 39 June 12, 2025) show up in the HTML when they should be cut out

Critical, All Pages: Multiple times, the bold is rendered as ""**"" instead of <strong>

Page 1: Broke up the 2nd row of the table into two wros instead of 1. for ""Part number"", ""Previous Price, and ""2025 Price"" should all be one row but it's split into two","Full Accessibility Check not completed; only Luke's quick spot check

Markdown not interpreted as HTML (**), rows split content that should be together",Critical Issues Remain,"Page 6: Hallucinated the incorrect price for part ""185669"" - the original PDF says ""$3,000.00"" and the HTML says ""$1,500.00""

","Page 1: Broke up the 2nd row of the table into two wros instead of 1. for ""Part number"", ""Previous Price, and ""2025 Price"" should all be one row but it's split into two"
